nom|price|stock|EAN
Tasse 12.5 cl bistrot noir en grès |7.45|11|2040877408
Tasse espresso|11.49|8|3279500068
Tasse à expresso 7 cm blanc|12.7|4|8258351182
Tasse bleu|11.74|10|7599656483
Mug Mazagran 12,5 cL|9.97|4|6536090441
Assiette plate 26,5cm gris x4|2.41|12|7242005149
Assiette dessert 19cm gris x4|2.35|5|5756537996
Plat rectangulaire en pocelaine - 40x20cm |19.92|14|1178877393
Assiettes en carton 18cm taupe x16|1.37|14|7658696965
Assiette plate en procelaine - motif fleurs - x4|5.77|11|8046068375
